                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                 1.2413,                 1.1878,                 1.7091,                0.70691,                0.69991,                0.75272,                0.41025,                 1.5637,                 1.2942,                 2.0154,              0.0027871,              0.0027871,              0.0027871
                    104,                 1.2535,                 1.1974,                 1.7075,                0.71223,                0.67606,                0.74259,                0.38746,                 1.5977,                 1.3086,                 2.0379,              0.0027164,              0.0027164,              0.0027164
                    105,                 1.2386,                 1.1737,                 1.7021,                0.75117,                0.69023,                0.76274,                0.41492,                 1.5275,                 1.2816,                 1.9726,              0.0026457,              0.0026457,              0.0026457
                    106,                 1.2329,                 1.1755,                  1.701,                0.72506,                0.69595,                0.75394,                 0.4158,                 1.5272,                 1.2822,                 1.9753,               0.002575,               0.002575,               0.002575
                    107,                 1.2282,                 1.1756,                 1.6899,                0.74278,                0.68006,                0.75776,                0.41471,                 1.5232,                 1.2609,                 1.9916,              0.0025043,              0.0025043,              0.0025043
                    108,                  1.243,                 1.2015,                 1.7228,                0.73789,                0.68421,                 0.7569,                0.41498,                 1.5448,                 1.2493,                 2.0019,              0.0024336,              0.0024336,              0.0024336
                    109,                  1.221,                 1.1771,                 1.6964,                0.76613,                0.68143,                0.74824,                 0.4118,                  1.557,                 1.2772,                 2.0051,              0.0023629,              0.0023629,              0.0023629
                    110,                 1.2299,                 1.1806,                 1.7085,                0.72586,                0.70745,                0.75511,                0.40648,                 1.5454,                 1.2676,                 2.0208,              0.0022921,              0.0022921,              0.0022921
                    111,                 1.2202,                 1.1817,                 1.6958,                0.73512,                0.67625,                0.74385,                0.40243,                 1.5679,                 1.2995,                 2.0093,              0.0022214,              0.0022214,              0.0022214
                    112,                 1.2181,                 1.1498,                 1.6883,                 0.7178,                0.68292,                0.74589,                0.41365,                 1.5417,                  1.285,                 1.9886,              0.0021507,              0.0021507,              0.0021507
                    113,                 1.2233,                   1.16,                  1.699,                0.75576,                0.66222,                0.75153,                0.40619,                 1.5494,                 1.2946,                 2.0073,                0.00208,                0.00208,                0.00208
                    114,                 1.2056,                 1.1577,                  1.683,                0.71637,                 0.7089,                0.76381,                0.42276,                 1.5508,                 1.2474,                 2.0048,              0.0020093,              0.0020093,              0.0020093
                    115,                 1.2096,                 1.1343,                 1.6858,                0.75474,                0.68741,                0.76195,                0.41891,                 1.5367,                 1.2596,                 1.9883,              0.0019386,              0.0019386,              0.0019386
                    116,                 1.1984,                  1.145,                 1.6838,                0.73347,                0.67192,                0.74963,                0.41046,                 1.5612,                  1.279,                 2.0072,              0.0018679,              0.0018679,              0.0018679
                    117,                 1.2015,                 1.1542,                 1.6846,                0.73405,                0.68388,                0.75247,                0.41253,                 1.5688,                  1.257,                 2.0252,              0.0017971,              0.0017971,              0.0017971
                    118,                 1.1885,                 1.1561,                 1.6791,                0.76532,                0.65715,                0.75063,                0.40828,                 1.5682,                 1.2744,                 2.0188,              0.0017264,              0.0017264,              0.0017264
                    119,                 1.1977,                 1.1306,                 1.6836,                0.73471,                0.71476,                0.76598,                0.42116,                 1.5514,                 1.2149,                 2.0192,              0.0016557,              0.0016557,              0.0016557
                    120,                 1.1833,                 1.1382,                  1.662,                0.77666,                0.67316,                0.76504,                0.42043,                 1.5458,                 1.2231,                 2.0175,               0.001585,               0.001585,               0.001585
                    121,                 1.1933,                 1.1208,                 1.6701,                0.72125,                0.68553,                0.75788,                0.42019,                 1.5581,                 1.2416,                 2.0247,              0.0015143,              0.0015143,              0.0015143
                    122,                 1.1863,                 1.1358,                 1.6663,                0.75864,                0.67688,                0.75738,                0.41106,                 1.5698,                 1.2681,                  2.023,              0.0014436,              0.0014436,              0.0014436
                    123,                 1.1728,                 1.0962,                 1.6529,                0.76549,                0.67388,                0.76302,                0.42112,                 1.5416,                  1.245,                 1.9918,              0.0013729,              0.0013729,              0.0013729
